"Source:","C:\Projects\Pixels-dice\Electrical\Dice\D6\D6v3\Main.kicad_sch"
"Date:","7/26/2022 10:32:05 PM"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","80"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Generic OK","Manufacturer","Manufacturer Part Number","Pixels Part Number"
"","","R3","10k 5%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402JR-0710KL","SMD-R002"
"","","R4","402k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402FR-07402KL","SMD-R001"
"","","R5","100k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW0402100KFKEDC","SMD-R006"
"","","R6","22k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402FR-0722KL","SMD-R002"
"","","R7","4.02M 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW04024M02FKED","SMD-R003"
"","","R8","10M 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402FR-0710ML","SMD-R004"
"","","R9","120k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW0402120KFKEDC",""
"","","R10","100k 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW0402100KFKEDC","SMD-R006"
"","","R12","2.7k 5%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402JR-072K7L","SMD-R021"
"","","R13","4.02M 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Vishay","CRCW04024M02FKED","SMD-R003"
"","","R14","10M 1%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402FR-0710ML","SMD-R004"
"","","R16","2.7k 5%","Device:R","Resistor_SMD:R_0402_1005Metric","~","YES","Yageo","RC0402JR-072K7L","SMD-R021"
"","","U1","N52810_QFN32","Pixels-dice:N52810_QFN32","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","","NO","Nordic Semiconductor","NRF52810-QCAA-R","SMD-U001"
"","","U2","KXTJ3-1057","Pixels-dice:KXTJ3-1057","Package_LGA:LGA-12_2x2mm_P0.5mm","","NO","Kionix","KXTJ3-1057","SMD-U002-ALT1"
"","","U3","PJ75AL50SA","Pixels-dice:HX6306P502MR","Pixels-dice:SOT-23","","NO","PJSEMI","PJ75AL50SA",""
"","","U4","LN3435","Pixels-dice:LN3406","Pixels-dice:SOT-23-5","","NO","NATLINEAR","LN3435","SMD-U004-ALT1"
"","","U5","MCP73832T-2ACI/OT","Pixels-dice:MCP73831-2-OT-battery_management","Package_TO_SOT_SMD:SOT-23-5","http://ww1.microchip.com/downloads/en/DeviceDoc/20001984g.pdf","NO","Microchip","MCP73832T-2ACI/OT","SMD-U005"
"","","U6","MT9700","Pixels-dice:MT9700","Pixels-dice:SOT-23-5","","NO","XI'AN Aerosemi Tech","MT9700","SMD-U006-ALT2"
"","","U7","74AHC1G08","Pixels-dice:74AHC1G08","Pixels-dice:SOT-353_SC-70-5","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf","YES","Texas Instruments","SN74AHC1G08DCKR","SMD-U007"
"","","U8","TMR1366","Pixels-dice:TMR1366","Package_TO_SOT_SMD:SOT-23","","NO","Multi Dimension","TMR1366S","SMD-U008-ALT8"
"","","W1","RXI","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W2","TXO","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W5","LED_EN","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W7","ACC_INT","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W8","SCL","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W9","SDA","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W12","VLED_S","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W13","5V_S","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W14","BATT","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W15","+5V","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W16","VIN","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W17","STAT","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W18","FB","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W19","GND","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W20","VBAT_S","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W21","LED2","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W22","LED_DATA1","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W23","MAG1_","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","W25","VDD","Pixels-dice:TEST_1P-conn","Pixels-dice:TEST_PIN","","N/A","","",""
"","","Y1","32MHz 40ppm","Device:Crystal_GND24","Pixels-dice:Crystal_SMD_2016-4Pin_2.0x1.6mm","~","YES","Murata","XRCGB32M000F2P00R0","SMD-Y001"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Generic OK","Manufacturer","Manufacturer Part Number","Pixels Part Number"
"1","1","AE2","ARC","Device:Antenna","Pixels-dice:ARC_Antenna","~","N/A","AEM Antennas","",""
