Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","CHIP_ANT",148.275438,-85.467007,69.800000,top
"C1","4.7uF 10V 20%","C_0402_1005Metric",149.670000,-89.900000,45.000000,top
"C2","8pF 10V 10%","C_0201_0603Metric",148.588390,-89.548315,35.000000,top
"C3","0.1uF 10V 20%","C_0201_0603Metric",152.480000,-90.230000,-135.000000,top
"C4","4.7uF 10V 20%","C_0402_1005Metric",151.560000,-91.350000,0.000000,top
"C5","8pF 10V 10%","C_0201_0603Metric",148.350000,-87.060000,125.000000,top
"C6","0.1uF 10V 20%","C_0201_0603Metric",141.220000,-111.410000,90.000000,top
"C7","100pF NP0 10V 2%","C_0201_0603Metric",150.188489,-83.993956,135.000000,top
"C8","0.8pF 10V 5% C0G","C_0201_0603Metric",151.100654,-83.562615,-135.200000,top
"C9","10uF 6.3V 20%","C_0402_1005Metric",157.000000,-107.000000,-120.000000,top
"C10","0.1uF 10V 20%","C_0201_0603Metric",156.950000,-85.360000,-45.000000,top
"C13","4.7uF 25V 20%","C_0402_1005Metric",136.410000,-109.530000,-150.000000,top
"C15","22uF 10V 20%","C_0603_1608Metric",147.800000,-105.510000,0.000000,top
"C16","10uF 6.3V 20%","C_0402_1005Metric",158.140000,-98.660000,-150.000000,top
"C18","4.7uF 10V 20%","C_0402_1005Metric",158.550000,-99.390000,30.000000,top
"C19","12nF 50V 5% NP0","C_0805_2012Metric",130.600000,-99.550000,-60.000000,top
"C21","10nF 25V 10%","C_0201_0603Metric",153.520000,-108.090000,-120.000000,top
"C22","10nF 25V 10%","C_0201_0603Metric",153.675000,-80.630001,180.000000,top
"C23","0.1uF 10V 20%","C_0201_0603Metric",152.650000,-75.520000,180.000000,top
"C24","0.1uF 10V 20%","C_0201_0603Metric",123.690000,-79.780000,120.000000,top
"C25","0.1uF 10V 20%","C_0201_0603Metric",99.460000,-81.790000,-60.000000,top
"D1","BAV99S","SOT-363_SC-70-6",135.660000,-107.930000,120.000000,top
"D2","TX1812MJA5","TX1812MWCA5-F01",153.360000,-98.640000,30.000000,top
"D3","TX1812MJA5","TX1812MWCA5-F01",158.182211,-101.450433,30.000000,top
"D4","TX1812MJA5","TX1812MWCA5-F01",158.201218,-107.649711,-30.000000,top
"D5","TX1812MJA5","TX1812MWCA5-F01",153.020000,-110.640000,-90.000000,top
"D6","TX1812MJA5","TX1812MWCA5-F01",147.840000,-107.660000,-90.000000,top
"D7","TX1812MJA5","TX1812MWCA5-F01",142.660000,-110.720000,-90.000000,top
"D8","TX1812MJA5","TX1812MWCA5-F01",137.650000,-107.560000,-150.000000,top
"D9","TX1812MJA5","TX1812MWCA5-F01",137.050000,-101.920000,-150.000000,top
"D10","TX1812MJA5","TX1812MWCA5-F01",132.620000,-98.550000,-150.000000,top
"D11","TX1812MJA5","TX1812MWCA5-F01",132.320000,-92.710000,-150.000000,top
"D12","TX1812MJA5","TX1812MWCA5-F01",127.141218,-89.720289,-150.000000,top
"D13","TX1812MJA5","TX1812MWCA5-F01",127.141218,-83.750289,-150.000000,top
"D14","TX1812MJA5","TX1812MWCA5-F01",121.971218,-80.760289,-150.000000,top
