Ref,Val,Package,PosX,PosY,Rot,Side
"AE1","Antenna_Chip","CHIP_ANT",164.392082,-107.984973,117.500000,bottom
"C1","4.7uF 10V 20%","C_0402_1005Metric",163.090000,-109.110000,0.000000,bottom
"C2","8pF 10V 10%","C_0201_0603Metric",162.090000,-106.360000,180.000000,bottom
"C3","0.1uF 10V 20%","C_0201_0603Metric",161.900000,-112.780000,0.000000,bottom
"C4","4.7uF 10V 20%","C_0402_1005Metric",155.550000,-110.930000,90.000000,bottom
"C5","8pF 10V 10%","C_0201_0603Metric",160.810000,-106.280000,180.000000,bottom
"C6","0.1uF 10V 20%","C_0201_0603Metric",140.270000,-110.190000,90.000000,bottom
"C7","100pF NP0 10V 2%","C_0201_0603Metric",159.840000,-105.220000,90.000000,bottom
"C8","0.8pF 10V 5% C0G","0402_RF",158.780000,-106.070000,0.000000,bottom
"C9","10uF 6.3V 20%","C_0402_1005Metric",154.850000,-120.790000,160.000000,bottom
"C10","0.1uF 10V 20%","C_0201_0603Metric",162.390000,-107.260000,90.000000,bottom
"C11","DNP","0402_RF",163.030000,-108.330000,180.000000,bottom
"C12","DNP","0402_RF",162.600000,-105.720000,180.000000,bottom
"C13","4.7uF 25V 20%","C_0402_1005Metric",161.790000,-99.550000,-90.000000,bottom
"C15","22uF 10V 20%","C_0603_1608Metric",159.080000,-94.790000,180.000000,bottom
"C16","10uF 6.3V 20%","C_0402_1005Metric",155.480000,-125.980000,-90.000000,bottom
"C18","4.7uF 10V 20%","C_0402_1005Metric",157.700004,-126.010009,-90.000000,bottom
"C19","12nF 50V 5% NP0","C_0805_2012Metric",138.830000,-121.680000,145.000000,bottom
"C21","10nF 25V 10%","C_0201_0603Metric",157.459997,-104.370003,90.000000,bottom
"C22","10nF 25V 10%","C_0201_0603Metric",155.579276,-104.944531,139.000000,bottom
"C23","0.1uF 10V 20%","C_0201_0603Metric",160.170000,-95.770000,0.000000,bottom
"C24","0.1uF 10V 20%","C_0201_0603Metric",119.950000,-93.090000,-90.000000,bottom
"D1","BAV99S","SOT-363_SC-70-6",154.810000,-132.700000,55.000000,bottom
"D2","TX1812MWCA5-F01","TX1812MWCA5-F01",159.160000,-119.176903,180.000000,bottom
"D3","TX1812MWCA5-F01","TX1812MWCA5-F01",164.620000,-126.686903,180.000000,bottom
"D4","TX1812MWCA5-F01","TX1812MWCA5-F01",156.025902,-129.556903,70.000000,bottom
"D5","TX1812MWCA5-F01","TX1812MWCA5-F01",146.960000,-126.686903,60.000000,bottom
"D6","TX1812MWCA5-F01","TX1812MWCA5-F01",141.510000,-119.176903,0.000000,bottom
"D7","TX1812MWCA5-F01","TX1812MWCA5-F01",141.510000,-109.896903,0.000000,bottom
"D8","TX1812MWCA5-F01","TX1812MWCA5-F01",136.050000,-102.396903,0.000000,bottom
"D9","TX1812MWCA5-F01","TX1812MWCA5-F01",136.060000,-93.116903,0.000000,bottom
"D10","TX1812MWCA5-F01","TX1812MWCA5-F01",130.600000,-85.616903,55.000000,bottom
"D11","TX1812MWCA5-F01","TX1812MWCA5-F01",121.780000,-82.736903,90.000000,bottom
"D12","TX1812MWCA5-F01","TX1812MWCA5-F01",112.950000,-85.842805,130.000000,bottom
