Ref,Val,Package,PosX,PosY,Rot,Side
AE1,Antenna_Chip,CHIP_ANT,-163.799999,-106.736904,90,bottom
C6,DNP,C_0402_1005Metric,-159.129997,-93.646902,0,bottom
C8,0.8pF 10V 5% C0G,0402_RF,-158.82,-105.656903,-1,bottom
C9,10uF 10V 20%,C_0402_1005Metric,-120.73,-93.136903,-90,bottom
C11,DNP,0402_RF,-162.93,-105.776903,40,bottom
C12,0.5pF 10V 5% C0G,0402_RF,-160.58,-104.556903,90,bottom
C16,10uF 10V 20%,C_0402_1005Metric,-156.8,-132.216903,180,bottom
C21,10nF 25V 10%,C_0402_1005Metric,-155.2,-119.876903,-18,bottom
C22,10nF 25V 10%,C_0402_1005Metric,-156.256761,-121.475221,54,bottom
C23,0.1uF 10V 20%,C_0402_1005Metric,-139.34,-119.176903,90,bottom
D2,TX1812Z_2020,TX1812Z_2020,-159.16,-119.176903,180,bottom
D3,TX1812Z_2020,TX1812Z_2020,-164.62,-126.686903,180,bottom
D4,TX1812Z_2020,TX1812Z_2020,-156.025902,-129.556903,70,bottom
D5,TX1812Z_2020,TX1812Z_2020,-146.96,-126.686903,60,bottom
D6,TX1812Z_2020,TX1812Z_2020,-141.51,-119.176903,0,bottom
D7,TX1812Z_2020,TX1812Z_2020,-141.51,-109.896903,0,bottom
D8,TX1812Z_2020,TX1812Z_2020,-136.05,-102.396903,0,bottom
D9,TX1812Z_2020,TX1812Z_2020,-136.06,-93.116903,0,bottom
D10,TX1812Z_2020,TX1812Z_2020,-130.6,-85.616903,55,bottom
D11,TX1812Z_2020,TX1812Z_2020,-121.78,-82.736903,90,bottom
D12,TX1812Z_2020,TX1812Z_2020,-112.95,-85.842805,160,bottom
D13,TX1812Z_2020,TX1812Z_2020,-118.41,-93.116903,180,bottom
J2,Conn_01x04,FPC-POGO-4,-149.664438,-100.153932,115,bottom
J3,Conn_01x02,Hongjie 10100 Connector,-159.15,-97.276903,0,bottom
J4,DNP,MFH3.RECE.20369.001E.01,-157.14,-104.486903,104,bottom
L3,1.8nH 5%,0402_RF,-161.67,-105.316903,-33,bottom
L5,3.9nH 5%,0402_RF,-158.18,-104.536903,105,bottom
R1,4.02M 1%,R_0402_1005Metric,-155.456484,-119.087525,162,bottom
R2,4.02M 1%,R_0402_1005Metric,-154.946606,-120.656768,162,bottom
R7,4.02M 1%,R_0402_1005Metric,-157.59761,-122.444049,-126,bottom
R8,10M 1%,R_0402_1005Metric,-156.94,-121.946903,54,bottom
R9,180k 1%,R_0402_1005Metric,-163.86,-109.496903,-117,bottom
R10,100k 1%,R_0402_1005Metric,-163.22,-108.996903,63,bottom
R12,2.7k 5%,R_0402_1005Metric,-153.55,-108.166903,-62.5,bottom
R16,2.7k 5%,R_0402_1005Metric,-154.21,-107.616903,-62.5,bottom
TH1,NTC 100k @ 25C,R_0402_1005Metric,-159.12,-94.486903,0,bottom
U1,N52810_QFN32,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,-159.15,-109.046903,90,bottom
C1,4.7uF 10V 20%,C_0402_1005Metric,163.14,-120.106903,-75,top
C2,8pF 10V 10%,C_0402_1005Metric,161.82,-108.166903,-90,top
C3,0.1uF 10V 20%,C_0402_1005Metric,160.35,-111.506903,180,top
C4,4.7uF 10V 20%,C_0402_1005Metric,160.36,-110.736903,180,top
C5,8pF 10V 10%,C_0402_1005Metric,159.38,-107.056903,0,top
C7,100pF NP0 10V 5%,C_0402_1005Metric,159.36,-106.246903,180,top
C10,0.1uF 10V 20%,C_0402_1005Metric,158.64,-111.496903,0,top
C13,4.7uF 25V 20%,C_0603_1608Metric,144.66,-130.046903,-30,top
C15,22uF 10V 20%,C_0603_1608Metric,149.06,-129.916903,-144,top
C18,4.7uF 10V 20%,C_0402_1005Metric,156.69,-120.866903,-145,top
C19,33nF 50V 5% NP0,C_1206_3216Metric,146.75,-124.106903,40,top
C24,0.1uF 10V 20%,C_0402_1005Metric,154.84621,-129.41307,-110,top
D1,BAV99S,SOT-363_SC-70-6,144.79,-127.276903,-140,top
J1,Conn_01x14,FPC_14,143.897201,-95.286906,25,top
L1,10uH 100mA 20%,L_0805_2012Metric,160.926657,-118.182312,40,top
L2,15nH 100mA 5%,L_0402_1005Metric,162.31,-118.596903,-140,top
R3,10k 5%,R_0402_1005Metric,154.246428,-131.021657,70,top
R4,100k 1%,R_0402_1005Metric,146.9,-126.496903,-50,top
R5,100k 1%,R_0402_1005Metric,162.41,-110.006903,-125,top
R6,22k 1%,R_0402_1005Metric,150,-127.976903,40,top
U2,KXTJ3-1057,LGA-12_2x2mm_P0.5mm,157.38,-109.386903,0,top
U3,PJ75AL50SA,SOT-23,147.05,-128.776903,-50,top
U4,ME6215,SOT-23-5,159.040716,-121.970943,125,top
U5,MCP73832T-2ACI/OT,SOT-23-5,149.32,-125.856903,-140,top
U6,MT9700,SOT-23-5,156.83,-131.276903,-20,top
U7,SN74LVC1G08,SOT-353_SC-70-5,157.6,-128.496903,-110,top
U8,TMR1366,SOT-23,136.15,-102.546903,90,top
Y1,32MHz 40ppm,Crystal_SMD_2016-4Pin_2.0x1.6mm,160.25,-108.646903,90,top
