"Source:","C:\Projects\Pixels-dice\Electrical\Dice\D12\D12v2\Main.kicad_sch"
"Date:","2/3/2023 2:37:02 PM"
""
"Item","Qty","Reference(s)","Value","Footprint","Generic OK","Manufacturer","Manufacturer Part Number","Pixels Part Number"
"1","1","AE1","Antenna_Chip","Pixels-dice:CHIP_ANT","NO","Microgate","MGMA3216H2450-A02",""
"2","3","C1, C4, C18","4.7uF 10V 20%","Pixels-dice:C_0402_1005Metric","YES","Murata","GRM155R61A475MEAAJ","SMD-C002"
"3","2","C2, C5","8pF 10V 10%","Pixels-dice:C_0402_1005Metric","YES","Murata","GRT1555C2A8R0DA02","SMD-C001"
"4","4","C3, C10, C23, C24","0.1uF 10V 20%","Pixels-dice:C_0402_1005Metric","YES","Murata","GRM155R61H104KE19D","SMD-C005"
"5","1","C7","100pF NP0 10V 5%","Pixels-dice:C_0402_1005Metric","YES","Murata","GCM1555C1H101JA16J","SMD-C003"
"6","1","C8","0.8pF 10V 5% C0G","Pixels-dice:0402_RF","YES","Murata","GJM1555C1HR80BB01","SMD-C004"
"7","2","C9, C16","10uF 10V 20%","Pixels-dice:C_0402_1005Metric","YES","Murata","GRM155R61A106ME44D ","SMD-C002"
"8","1","C12","0.5pF 10V 5% C0G","Pixels-dice:0402_RF","YES","Murata","GJM1555C1HR50BB01","SMD-C004"
"9","1","C13","4.7uF 25V 20%","Capacitor_SMD:C_0603_1608Metric","YES","Murata","GRM188R61E475KE11D","SMD-C010"
"10","1","C15","22uF 10V 20%","Capacitor_SMD:C_0603_1608Metric","YES","Murata","GRM188R61A226ME15D","SMD-C002"
"11","1","C19","33nF 50V 5% NP0","Capacitor_SMD:C_1206_3216Metric","NO","Murata","GRM3195C1H333JA01J","SMD-C011"
"12","2","C21, C22","10nF 25V 10%","Pixels-dice:C_0402_1005Metric","YES","Murata","GRM155R71H103KA88","SMD-C009"
"13","1","D1","BAV99S","Package_TO_SOT_SMD:SOT-363_SC-70-6","YES","Nexperia","BAV99S,115","SMD-D001"
"14","12","D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13","TX1812Z_2020","Pixels-dice:TX1812Z_2020","NO","TCWIN","TX1812Z 2020","SMD-D002-ALT2"
"15","1","J1","Conn_01x14","Pixels-dice:FPC_14","N/A","","",""
"16","1","J2","Conn_01x04","Pixels-dice:FPC-POGO-4","N/A","","",""
"17","1","J3","Conn_01x02","Pixels-dice:Hongjie 10100 Connector","N/A","","",""
"18","1","L1","10uH 100mA 20%","Inductor_SMD:L_0805_2012Metric","YES","Murata","LQM21FN100M80L","SMD-L001"
"19","1","L2","15nH 100mA 5%","Inductor_SMD:L_0402_1005Metric","YES","Murata","LQG15HS15NJ02D","SMD-L002"
"20","1","L3","1.8nH 5%","Pixels-dice:0402_RF","YES","Murata","LQG15HZ1N8C02D",""
"21","1","L5","3.9nH 5%","Pixels-dice:0402_RF","YES","Murata","LQG15HS3N9B02D",""
"22","1","P5","COILA","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","N/A","","",""
"23","1","P6","COILB","TestPoint:TestPoint_THTPad_D1.5mm_Drill0.7mm","N/A","","",""
"24","3","R1, R2, R7","4.02M 1%","Pixels-dice:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF4024TCE","SMD-R003"
"25","1","R3","10k 5%","Pixels-dice:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGJ0103TCE","SMD-R002"
"26","3","R4, R5, R10","100k 1%","Pixels-dice:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF1003TCE","SMD-R006"
"27","1","R6","22k 1%","Pixels-dice:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF2202TCE","SMD-R002"
"28","1","R8","10M 1%","Pixels-dice:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF1005TCE","SMD-R004"
"29","1","R9","180k 1%","Resistor_SMD:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGF1803TCE","SMD-R006"
"30","2","R12, R16","2.7k 5%","Pixels-dice:R_0402_1005Metric","YES","UNI-ROYAL(Uniroyal Elec)","0402WGJ0272TCE","SMD-R021"
"31","1","TH1","NTC 100k @ 25C","Pixels-dice:R_0402_1005Metric","NO","TDK","NTCG104EF104FT1X",""
"32","1","U1","N52810_QFN32","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm","NO","Nordic Semiconductor","NRF52810-QCAA-R","SMD-U001"
"33","1","U2","KXTJ3-1057","Package_LGA:LGA-12_2x2mm_P0.5mm","NO","Kionix","KXTJ3-1057","SMD-U002-ALT1"
"34","1","U3","PJ75AL50SA","Pixels-dice:SOT-23","NO","PJSEMI","PJ75AL50SA",""
"35","1","U4","ME6215","Pixels-dice:SOT-23-5","NO","MICRONE(Nanjing Micro One Elec)","ME6215C30M5G",""
"36","1","U5","MCP73832T-2ACI/OT","Package_TO_SOT_SMD:SOT-23-5","NO","Microchip","MCP73832T-2ACI/OT","SMD-U005"
"37","1","U6","MT9700","Pixels-dice:SOT-23-5","NO","XI'AN Aerosemi Tech","MT9700","SMD-U006-ALT2"
"38","1","U7","SN74LVC1G08","Pixels-dice:SOT-353_SC-70-5","YES","UMW(Youtai Semiconductor Co., Ltd.)","SN74LVC1G08DCKR","SMD-U007"
"39","1","U8","TMR1366","Pixels-dice:SOT-23","NO","Multi Dimension","TMR1366S","SMD-U008-ALT8"
"40","1","W1","RXI","Pixels-dice:TEST_PIN","N/A","","",""
"41","1","W2","TXO","Pixels-dice:TEST_PIN","N/A","","",""
"42","1","W3","PROG","Pixels-dice:TEST_PIN","N/A","","",""
"43","2","W4, W20","VBAT_S","Pixels-dice:TEST_PIN","N/A","","",""
"44","1","W5","LED_EN","Pixels-dice:TEST_PIN","N/A","","",""
"45","1","W7","ACC_INT","Pixels-dice:TEST_PIN","N/A","","",""
"46","1","W8","SCL","Pixels-dice:TEST_PIN","N/A","","",""
"47","1","W9","SDA","Pixels-dice:TEST_PIN","N/A","","",""
"48","1","W13","5V_S","Pixels-dice:TEST_PIN","N/A","","",""
"49","1","W14","BATT","Pixels-dice:TEST_PIN","N/A","","",""
"50","1","W15","+5V","Pixels-dice:TEST_PIN","N/A","","",""
"51","1","W16","VIN","Pixels-dice:TEST_PIN","N/A","","",""
"52","1","W17","STAT","Pixels-dice:TEST_PIN","N/A","","",""
"53","1","W19","GND","Pixels-dice:TEST_PIN","N/A","","",""
"54","1","W21","LED2","Pixels-dice:TEST_PIN","N/A","","",""
