Ref,Val,Package,PosX,PosY,Rot,Side
C4,4.7uF 10V 20%,C_0402_1005Metric,-148.89,-84.57,7,bottom
C6,DNP,C_0402_1005Metric,-148.474999,-61.15,0,bottom
C10,0.1uF 10V 20%,C_0402_1005Metric,-148.82,-83.76,7,bottom
C16,10uF 10V 20%,C_0402_1005Metric,-150.51,-64.68,-90,bottom
C23,0.1uF 10V 20%,C_0402_1005Metric,-118.41,-67.85,180,bottom
C24,0.1uF 10V 20%,C_0402_1005Metric,-111.95,-54.5,180,bottom
D2,TX1812Z_2020,TX1812Z_2020,-148.59,-78.26,90,bottom
D3,TX1812Z_2020,TX1812Z_2020,-141.07,-82.56,90,bottom
D4,TX1812Z_2020,TX1812Z_2020,-133.52,-78.22,30,bottom
D5,TX1812Z_2020,TX1812Z_2020,-133.52,-69.54,30,bottom
D6,TX1812Z_2020,TX1812Z_2020,-126,-65.19,90,bottom
D7,TX1812Z_2020,TX1812Z_2020,-118.41,-69.55,90,bottom
D8,TX1812Z_2020,TX1812Z_2020,-110.94,-65.18,30,bottom
D9,TX1812Z_2020,TX1812Z_2020,-110.96,-56.5,0,bottom
J2,Conn_01x04,FPC-POGO-4,-157.782328,-89.60446,-30,bottom
J3,Conn_01x02,Hongjie 10100 Connector,-148.577825,-56.028319,180,bottom
R6,22k 1%,R_0402_1005Metric,-146.4,-65.88,-90,bottom
R9,470k 1%,R_0402_1005Metric,-148.03,-76.43,0,bottom
R10,100k 1%,R_0402_1005Metric,-149,-75.6,0,bottom
R12,2.7k 5%,R_0402_1005Metric,-148.72,-82.94,7,bottom
R16,2.7k 5%,R_0402_1005Metric,-148.26,-82.16,7,bottom
TH1,NTC 100k @ 25C,R_0402_1005Metric,-148.455,-60.37,0,bottom
U5,MCP73832T-2ACI/OT,SOT-23-5,-148.64,-64.51,-90,bottom
AE1,Antenna_Chip,CHIP_ANT,155.601434,-78.087478,20,top
C1,4.7uF 10V 20%,C_0402_1005Metric,144.99,-71.65,-90,top
C2,8pF 10V 10%,C_0402_1005Metric,151.62,-70.54,31,top
C3,0.1uF 10V 20%,C_0402_1005Metric,144.83,-76.07,120,top
C5,8pF 10V 10%,C_0402_1005Metric,153.61,-72.76,-148,top
C7,100pF NP0 10V 5%,C_0402_1005Metric,152.17,-76.2,62,top
C8,0.8pF 10V 5% C0G,0402_RF,152.03,-77.86,110,top
C9,10uF 10V 20%,C_0402_1005Metric,110.62,-64.42,53,top
C11,DNP,0402_RF,154.7,-78.95,-60,top
C12,0.5pF 10V 5% C0G,0402_RF,153.75,-79.4,-60,top
C13,4.7uF 25V 20%,C_0603_1608Metric,140.51,-78.27,-30,top
C15,22uF 10V 20%,C_0603_1608Metric,141.77,-80.53,60,top
C18,4.7uF 10V 20%,C_0402_1005Metric,111.09,-62.82,19,top
C19,33nF 50V 5% NP0,C_1206_3216Metric,134,-82.25,-131,top
C21,10nF 25V 10%,C_0402_1005Metric,145.475,-68.74,0,top
C22,10nF 25V 10%,C_0402_1005Metric,151.6,-68.79,180,top
D1,BAV99S,SOT-363_SC-70-6,143.53,-85.04,90,top
J1,Conn_01x14,FPC_14,165.298188,-90.283345,-120,top
J4,DNP,MFH3.RECE.20369.001E.01,153.17,-80.76,5,top
L1,10uH 100mA 20%,L_0805_2012Metric,143.81,-72.31,90,top
L2,15nH 100mA 5%,L_0402_1005Metric,145.04,-70.4,0,top
L3,1.8nH 5%,0402_RF,153.62,-78.24,25,top
L5,3.9nH 5%,0402_RF,152.86,-79.2,-60,top
R1,4.02M 1%,R_0402_1005Metric,145.465,-66.69,-112,top
R2,4.02M 1%,R_0402_1005Metric,145.555,-67.93,0,top
R3,10k 5%,R_0402_1005Metric,112.12,-63.53,-174,top
R4,100k 1%,R_0402_1005Metric,142.54,-81.11,59,top
R5,100k 1%,R_0402_1005Metric,150.5,-66.17,115,top
R7,4.02M 1%,R_0402_1005Metric,151.65,-66.7,-68,top
R8,10M 1%,R_0402_1005Metric,151.55,-67.95,180,top
U1,N52810_QFN32,QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm,148.76,-78.67,19,top
U2,KXTJ3-1057,LGA-12_2x2mm_P0.5mm,148.864998,-83.439996,-72,top
U3,PJ75AL50SA,SOT-23,139.55,-80.18,-30,top
U4,ME6215,SOT-23-5,109.47,-67.11,-150,top
U6,MT9700,SOT-23-5,114.59,-62.92,90,top
U7,SN74LVC1G08,SOT-353_SC-70-5,111.23,-70.25,60,top
U8,TMR1366,SOT-23,125.53,-62.93,77,top
Y1,32MHz 40ppm,Crystal_SMD_2016-4Pin_2.0x1.6mm,152.880004,-71.479998,-150,top
